item_name	select_item	view_item	add_to_cart	purchase
Super G Unisex Joggers	1507	758	186	5
Google Zip Hoodie F/C	1686	861	193	4
Google Land & Sea Cotton Cap	861	262	78	4
Google Heathered Pom Beanie	611	173	47	3
Google Badge Heavyweight Pullover Black	1643	868	192	2
Google Crewneck Sweatshirt Navy	1626	852	185	2
YouTube Standards Zip Hoodie Black	500	109	19	2
Google Land & Sea Tote Bag	410	109	36	2
Google Toddler FC Tee Charcoal	296	116	29	2
Google Women's Puff Jacket Black	283	151	34	2
Google Pen White	135	49	18	2
Google Mural Socks	75	16	5	2
Google NYC Campus Zip Hoodie	56	18	5	2
Google Campus Bike Eco Tee Navy	1620	890	215	1
Google Men's Tech Fleece Grey	1154	617	129	1
YouTube Icon Tee Grey	742	181	39	1
Google Leather Strap Hat Blue	712	218	53	1
Android Iconic Hat Black	635	225	186	1
YouTube Jotter Task Pad	528	122	33	1
YouTube Transmission Journal Red	503	111	26	1
YouTube Twill Sandwich Cap Black	492	84	22	1
YouTube Crew Socks	482	93	19	1
Google Blue Stojo Cup	450	141	43	1
Google Land & Sea Mug	450	136	44	1
Android SM S/F18 Sticker Sheet	435	218	76	1
Google Land & Sea Tech Taco	428	127	41	1
Android Large Removable Sticker Sheet	411	216	79	1
Android Garden Tee Orange	381	189	46	1
Google Speckled Beanie Grey	346	61	21	1
Mural Food Container	325	103	34	1
Google Women's Microfleece Jacket Black	309	151	36	1
Google Infant Hero Tee Olive	278	130	31	1
Google Glass Bottle	276	118	29	1
Google Youth Badge Tee Navy	273	123	34	1
Android Iconic Glass Bottle Green	270	119	30	1
Google Woodtop Bottle Black	258	112	28	1
Android Techie 3D Framed Art	257	155	56	1
#IamRemarkable Water Bottle	254	116	30	1
Google Cup Cap Tumbler Grey	253	111	27	1
Android Iconic Crewneck Sweatshirt	230	98	21	1
Noogler Android Figure	193	93	19	1
Google Youth Badge Tee Olive	192	101	30	1
Google Black Cork Journal	192	66	17	1
Google Clear Pen 4-Pack	156	51	18	1
#IamRemarkable Journal	151	53	11	1
Google Toddler FC Zip Hoodie	130	35	9	1
Google Crew Combed Cotton Sock	121	38	6	1
Google Super G Tumbler (Red Lid)	107	29	8	1
Google Perk Thermal Tumbler	103	39	11	1
Google Cambridge Campus Zip Hoodie	99	24	5	1
Google Light Pen Blue	87	32	9	1
Google Crew Striped Athletic Sock	87	20	6	1
Maze Pen	85	24	8	1
Google Men's Softshell Moss	76	26	2	1
Android Buoy Bottle	73	17	6	1
Google Cambridge Campus Mug	70	14	3	1
#IamRemarkable Unisex T-Shirt	61	9	3	1
Google Chicago Campus Zip Hoodie	41	12	3	1
Google Light Pen Red	39	16	5	1
Google Pen Grey	38	16	5	1
Google PNW Campus Mug	15	5	3	1
Google PNW Campus Zip Hoodie	14	4	3	1
Google Seattle Campus Ladies Tee	9	3	1	1
Gift Card - $50.00	7	4	2	1
Google Navy Speckled Tee	1824	1016	249	0
Google F/C Long Sleeve Tee Ash	1724	896	201	0
Google F/C Long Sleeve Tee Charcoal	1601	833	188	0
(not set)	1467	0	0	0
Google Crewneck Sweatshirt Green	1139	618	135	0
YouTube Leather Strap Hat Black	746	138	36	0
Google Eco Tee Black	706	247	50	0
YouTube Icon Tee Charcoal	666	155	34	0
Google Land & Sea Journal Set	642	230	69	0
Google Speckled Beanie Navy	600	161	38	0
Google Land & Sea French Terry Sweatshirt	578	207	62	0
Google Crewneck Sweatshirt Grey	576	304	61	0
Google Sherpa Zip Hoodie Charcoal	554	285	68	0
Google Red Speckled Tee	552	257	50	0
Google Women's Striped L/S	540	344	108	0
Google Heather Green Speckled Tee	530	286	70	0
YouTube Small Sticker Sheet	498	94	26	0
Google Land & Sea Nalgene Water Bottle	497	164	53	0
Google Land & Sea Women's Eco Tee	460	141	44	0
YouTube Play Mug	456	87	17	0
Google Land & Sea Unisex Tee	429	128	44	0
YouTube Iconic Play Pin	417	74	14	0
Google Utility Bag Grey	409	180	27	0
Google Leather Strap Hat Black	397	78	25	0
Google Small Standard Journal Navy	389	215	70	0
Android Large Trace Journal Black	363	203	67	0
Android Iconic Hat Green	362	56	21	0
Google Crew Socks	350	135	26	0
Android Iconic Beanie	345	59	22	0
Google Beekeepers Tee Mint	338	171	39	0
Stan and Friends Tee Green	333	173	41	0
Android Iconic Hat White	329	53	20	0
Android Pocket Onesie Navy	324	142	38	0
Google Large Tote White	320	114	15	0
Google Laptop Sleeve Charcoal	314	132	17	0
Google Youth FC Longsleeve Charcoal	313	129	33	0
Android Iconic Mug Gray	311	134	33	0
Google Youth FC Tee Charcoal	310	126	32	0
Google Tee Yellow	300	195	67	0
Google Flat Front Bag Grey	300	93	11	0
Google Tee Green	299	194	66	0
Google Utility BackPack	299	89	5	0
YouTube Women's Favorite Tee White	282	179	59	0
Google Women's Grid Zip-Up	280	152	35	0
Google Cork Base Tumbler	274	120	30	0
#IamRemarkable Ladies T-Shirt	273	145	32	0
Android Small Trace Journal Black	269	159	58	0
Keyboard DOT Sticker	268	90	30	0
Google Toddler Hero Tee Black	261	115	30	0
Google Mesh Bag Red	260	92	8	0
Android Pocket Toddler Tee Navy	258	112	29	0
Stainless Bent Straw/Cleaner	257	116	27	0
Google Mural Bottle	257	111	27	0
Android Super Hero 3D Framed Art	256	155	55	0
Google Campus Bike Bottle	255	111	27	0
Google Bottle Cleaner	241	112	28	0
Google Incognito Messenger Bag	240	75	5	0
Google Mini Kick Ball	240	33	6	0
Google Campus Bike Tote Navy	236	75	6	0
Google Confetti Accessory Pouch	234	76	6	0
Google Mesh Bag Blue	232	73	5	0
Google Campus Bike Carry Pouch	228	72	5	0
Google Metallic Notebook Set	226	80	21	0
Google Dino Game Tee	222	64	10	0
Google Men's Puff Jacket Black	219	96	18	0
Google Unisex Pride Eco-Tee Black	218	69	14	0
Google Confetti Slim Task Pad	204	74	18	0
YouTube 25 oz Gear Cap Bottle Black	204	31	5	0
Google Black Tee	203	70	12	0
Google Tudes Recycled Tee	200	58	11	0
Google Large Standard Journal Grey	193	68	19	0
Google Jotter Task Pad	192	64	16	0
Google Youth Hero Tee Grey	186	78	24	0
Google Infant Charcoal Onesie	181	69	16	0
Google Laptop and Cell Phone Stickers	173	48	17	0
Google Toddler Tee White	168	85	21	0
Google Mouse Pad Navy	165	78	14	0
Google Camp Mug Ivory	162	62	16	0
Google Emoji Sticker Pack	147	39	16	0
Google Mountain View Tee Blue	147	35	5	0
Google Thermal Tumbler Navy	136	54	12	0
Google Youth Hero Tee Maroon	129	47	14	0
Google Tech Taco	125	53	7	0
Google Campus Bike Grid Task Pad	121	41	9	0
Google Super G Tumbler (Blue Lid)	120	32	8	0
Google Canteen Bottle Black	115	42	11	0
#IamRemarkable Unisex Hoodie	114	19	5	0
Google Recycled Pen Black	113	29	9	0
Google ApPeel Journal Red	108	35	8	0
Android Jotter Task Pad	108	27	8	0
Android Iconic Sticker Sheet	104	28	11	0
Google Cotopaxi Shell	103	38	3	0
Google Mountain View Campus Unisex Tee	102	18	9	0
Google Phone Stand Bamboo	99	48	10	0
Google Small Cable Organizer Blue	99	46	7	0
Google Mural Sticker Sheet	97	22	10	0
Google Camp Mug Gray	96	46	12	0
Android Iconic Pin	96	44	7	0
Google See-No Hear-No Set	95	45	7	0
Google Decal	95	22	11	0
Google LoveHandle Black	93	45	7	0
Google Pride Sticker	93	21	9	0
Google NYC Campus Mug	91	26	6	0
Google Sherpa Zip Hoodie Navy	89	30	4	0
Google NYC Campus Sticker	88	28	10	0
Google Pocket Tee Grey	87	43	9	0
Android Iconic 4&quot; Decal	87	21	10	0
Android Iconic Socks	85	21	7	0
Google NYC Campus Bottle	84	21	6	0
Flamingo and Friends Tee Blue	82	33	9	0
Google 24oz Ring Bottle Blue	82	33	7	0
Google Bear Baby Blanket Beige	81	33	6	0
Google Incognito Zip Pack	79	20	2	0
Google Men's Tech Fleece Vest Charcoal	76	25	2	0
Android Pocket Tee Navy	75	27	8	0
Google Campus Bike Mini Backpack	75	16	1	0
Google Hemp Tote	72	20	5	0
Google Incognito Flap Pack	71	16	1	0
Google Cambridge Campus Ladies Tee	71	14	4	0
Google Mural Sticky Note Pad	69	22	7	0
Google Cambridge Campus Sticker	68	15	5	0
Google Cambridge Campus Bottle	68	13	3	0
Google Cambridge Campus Unisex Tee	68	13	3	0
Google Cambridge Campus Tote	67	13	3	0
Snowflake Android Cardboard Sculpture	66	28	5	0
Google NYC Campus Lapel Pin	65	13	3	0
Google Raincoat Navy	61	19	2	0
Supernatural Paper Backpack	61	11	0	0
Google Tee Blue	59	39	7	0
Android Iconic Backpack	59	12	1	0
Google Women's Tech Fleece Vest Charcoal	58	24	2	0
Google Tonal Tee Spearmint	54	15	4	0
Supernatural Paper Tote	49	7	0	0
Google Kids Playful Tee	48	25	11	0
Google Color Block Notebook	47	20	4	0
Google Austin Campus Zip Hoodie	46	15	4	0
#IamRemarkable Pen	45	16	5	0
Google SF Campus Zip Hoodie	45	14	2	0
Google Sunglasses	45	6	2	0
Google Tonal Tee Coral	44	33	6	0
Google Tee Grey	44	32	6	0
Google Cloth & Pouch Black	44	18	2	0
Supernatural Paper Lunch Sack	43	5	0	0
Google Mural Mug	42	10	1	0
Google Felt Luggage Tag	42	5	0	0
Google Tee Red	41	27	4	0
Google Pen Citron	41	17	6	0
Google Light Pen Green	41	15	5	0
Google Recycled Pen Green	41	8	1	0
Google Boulder Campus Zip Hoodie	40	12	2	0
Google Women's Softshell Moss	39	15	2	0
Google Pen Bright Blue	38	16	5	0
Google Campus Bike Corkbase Mug Blue	38	10	1	0
Google Women's Eco Tee Black	37	20	3	0
Google Pen Grass Green	37	16	5	0
Google Youth F/C Pullover Hoodie	37	16	4	0
Google Stylus Pen w/ LED Light	37	14	4	0
Google Sherpa Vest Black	37	13	2	0
Google Cork Pencil Pouch	37	5	0	0
Google Cork Card Holder	37	5	0	0
Stan and Friends Onesie Green	37	4	1	0
Android Pocket Onesie White	36	17	2	0
Google Women's Tech Fleece Grey	36	13	2	0
Android Iconic Pen	36	11	2	0
Google Cork Key Ring	36	5	0	0
Google Tee Dark Blue	35	24	3	0
Google LA Campus Zip Hoodie	35	11	1	0
Google Cork Tablet Case	34	5	0	0
Google Cork Passport Holder	34	5	0	0
Android Pocket Youth Tee Navy	33	13	4	0
Android Pocket Youth Tee Green	33	13	3	0
Google Youth FC Zip Hoodie	32	15	4	0
Google Mens Microfleece Jacket Black	32	10	1	0
Google Sunnyvale Campus Mug	32	9	1	0
Google Sunnyvale Campus Zip Hoodie	31	9	0	0
Google Women's Discovery Lt. Rain Shell	30	9	1	0
Google Packable Bag Black	30	0	0	0
Google Jumbo Print Tee White	27	20	6	0
Google Cloud Pen	26	15	4	0
Google Lightweight Crew Sweatshirt Grey	26	8	2	0
Google Red Kids Sunglasses	26	7	1	0
Google KeepCup	25	4	0	0
#IamRemarkable Lapel Pin	25	2	1	0
Google Aluminum Bottle Red	24	15	4	0
Google Mountain View Campus Zip Hoodie	24	8	0	0
Google Sunnyvale Campus Ladies Tee	24	7	0	0
Google Sunnyvale Campus Sticker	24	6	4	0
Google Seaport Tote	24	5	0	0
Google Sunnyvale Campus Bottle	24	4	0	0
Google Confetti Task Pad	23	10	3	0
Stainless Straight Straw/Cleaner	23	7	1	0
Google 16 oz Tumbler Blue	23	7	1	0
Google Sunnyvale Campus Tote	23	4	0	0
Google Tee F/C Black	21	15	5	0
Google NYC Campus Ladies Tee	21	8	4	0
Google Men's Discovery Lt. Rain Shell	21	6	1	0
White Google Shoreline Bottle	20	13	4	0
Google NYC Campus Unisex Tee	20	7	3	0
Google Premium Sunglasses	20	4	1	0
Google Women's Black Tee	19	13	3	0
Google Confetti Pen White	19	5	1	0
Google Women's Kirkland Pullover	19	2	1	0
Google Mountain View Campus Sticker	18	9	4	0
Google Austin Campus Mug	18	5	1	0
Google Infant Hero Onesie Grey	17	7	1	0
Google Mountain View Campus Ladies Tee	17	6	0	0
Stan and Friends Youth Tee Green	16	6	4	0
Google Beekeepers Youth Tee Pink	16	6	4	0
Google Youth Jumbo Print Tee White	16	6	1	0
Android Pocket Toddler Tee White	16	5	2	0
Google Mural Notebook	16	4	2	0
Google Chicago Campus Mug	16	4	1	0
Google Incognito Techpack V2	16	4	0	0
Google Seattle Campus Mug	15	6	1	0
Google Toddler Hero Tee Olive	15	5	3	0
Google SF Campus Bottle	15	5	1	0
Google Austin Campus Unisex Tee	15	4	2	0
Google Recycled Writing Set	15	3	2	0
Google SF Campus Ladies Tee	14	6	1	0
Google SF Campus Unisex Tee	14	5	1	0
Google Sunnyvale Campus Unisex Tee	14	5	0	0
Google Austin Campus Ladies Tee	14	4	2	0
Google Blue Kids Sunglasses	14	4	1	0
Google Clear Framed Yellow Shades	14	4	1	0
Essential Canvas Tote	14	4	0	0
Google LA Campus Mug	14	4	0	0
Google Incognito Dopp Kit V2	14	4	0	0
Google Incognito Laptop Organizer	14	4	0	0
Google Boulder Campus Mug	14	3	1	0
Google Seattle Campus Sticker	13	8	5	0
Google PNW Campus Sticker	13	7	6	0
Google LA Campus Sticker	13	7	3	0
Android Iconic Notebook	13	7	2	0
Google Boulder Campus Sticker	13	4	4	0
Google Campus Bike	13	4	1	0
Google SF Campus Lapel Pin	13	4	0	0
Google Austin Campus Bottle	13	3	1	0
Google Austin Campus Tote	12	3	1	0
Google Beekeepers Onesie Pink	12	2	0	0
Google Sustainable Pencil Pouch	12	1	0	0
Google Women's Pride Eco-Tee Black	11	4	1	0
Android Hipster Pin	11	0	0	0
Google Utensil Set	10	7	1	0
Google PNW Campus Bottle	10	4	3	0
Google LA Campus Bottle	10	3	0	0
Google Chicago Campus Ladies Tee	10	2	2	0
Google Boulder Campus Bottle	10	1	1	0
Google Boulder Campus Unisex Tee	10	1	1	0
Google Striped Penny Pouch	9	6	1	0
Google PNW Campus Unisex Tee	9	4	3	0
Google PNW Campus Tote	9	4	3	0
Gift Card - $25.00	9	4	2	0
Google Cork Journal	9	4	1	0
Google LA Campus Ladies Tee	9	3	0	0
Google LA Campus Lapel Pin	9	3	0	0
Google LA Campus Unisex Tee	9	3	0	0
Google Chicago Campus Unisex Tee	9	2	2	0
Google Chicago Campus Bottle	9	1	1	0
Google Boulder Campus Ladies Tee	9	1	1	0
Google Clear Framed Blue Shades	9	1	0	0
Google Bot (Multicolored)	9	0	0	0
#IamRemarkable Tote	9	0	0	0
Google Boulder Campus Lapel Pin	9	0	0	0
Google Cambridge Campus Lapel Pin	9	0	0	0
Google PNW Campus Lapel Pin	8	4	3	0
Gift Card - $10.00	8	4	2	0
Google Felt Refillable Journal	8	4	2	0
Google Black Cloud Zip Hoodie	8	4	0	0
Google Kirkland Campus Mug	8	2	0	0
Google Chicago Campus Tote	8	1	1	0
Gift Card - $250.00	7	4	2	0
Google Frisbee	7	4	1	0
Google Recycled Notebook Set Natural	7	3	1	0
Google Seattle Campus Lapel Pin	7	3	1	0
Google Seattle Campus Unisex Tee	7	1	0	0
Google Maps Pin	7	0	0	0
Google Split Seam Tee Olive	6	5	2	0
Google Bellevue Campus Sticker	6	3	3	0
Google Magnet	6	2	1	0
Google Pen Lilac	6	2	1	0
Google Clear Framed Gray Shades	6	1	0	0
Google Mural Tote	6	1	0	0
Google Yellow YoYo	6	0	0	0
Google Kirkland Campus Sticker	5	3	3	0
Android Pocket Tee Green	5	3	2	0
Google 24 oz Ring Bottle Red	5	2	1	0
Google Chrome Dino Light Up Water Bottle	5	2	0	0
Android Lumberjack Pin	5	1	0	0
Google Chrome Dinosaur Collectible	5	0	0	0
Google Soft Modal Scarf	4	1	0	0
Android Geek Pin	4	0	0	0
Gift Card- $100.00	4	0	0	0
Google Pen Neon Coral	3	2	1	0
Google Bot	3	2	0	0
Google Totepak	3	1	0	0
Google Lapel Pin	3	1	0	0
Google Red YoYo	3	1	0	0
Google Beekeepers Toddler Tee Pink	3	0	0	0
Stan and Friends Toddler Tee Green	3	0	0	0
Google Felt Strap Keyring	3	0	0	0
Google Pen Red	2	2	1	0
Google SF Campus Tote	2	1	1	0
Google Keychain	2	1	0	0
Daddy Works at Google Book	2	0	0	0
Google Large White Gift Bag 5/PK	2	0	0	0
Google Kirkland Campus Unisex Tee	2	0	0	0
Google Kirkland Campus Ladies Tee	2	0	0	0
Google Small White Gift Bag 5/PK	2	0	0	0
BLM Unisex Pullover Hoodie	2	0	0	0
Google Medium Pet Leash (Red/Yellow)	1	1	0	0
Google Blue YoYo	1	1	0	0
Google 5K Run 2020 Unisex Tee	1	0	0	0
Google Boulder Campus Tote	1	0	0	0
Google PNW Campus Ladies Tee	1	0	0	0
Google Austin Campus Lapel Pin	1	0	0	0
Mommy Works at Google Book	1	0	0	0
Google Chicago Campus Lapel Pin	1	0	0	0
Android Puzzlebot v2	1	0	0	0
Google Kirkland Campus Lapel Pin	1	0	0	0
Google LA Campus Tote	1	0	0	0